image_path,dice_score,,
BraTS2021_00758,2.5256047,,2.2731451324
BraTS2021_00048,2.2174163,,0.228691925087788
BraTS2021_00312,2.119999,,1.2956398
BraTS2021_01528,1.7667948,,2.8928413
BraTS2021_00706,2.4035852,,
BraTS2021_01324,2.1135247,,
BraTS2021_01301,2.3064048,,
BraTS2021_00456,2.1876094,,
BraTS2021_01114,2.3998103,,
BraTS2021_00187,2.2222404,,
BraTS2021_01386,2.1222181,,
BraTS2021_01111,2.3629298,,
BraTS2021_01166,2.5922484,,
BraTS2021_01547,2.3736854,,
BraTS2021_01549,2.2384596,,
BraTS2021_00313,2.0965269,,
BraTS2021_00839,2.1010466,,
BraTS2021_00488,2.462118,,
BraTS2021_00568,2.2280095,,
BraTS2021_01590,2.1461577,,
BraTS2021_01181,2.7980125,,
BraTS2021_00686,2.2432883,,
BraTS2021_00795,2.6269753,,
BraTS2021_00651,2.5650651,,
BraTS2021_00658,2.3776665,,
BraTS2021_01045,2.224682,,
BraTS2021_01094,2.087425,,
BraTS2021_00836,2.6451542,,
BraTS2021_01341,2.8928413,,
BraTS2021_00780,2.3018456,,
BraTS2021_00026,2.5265765,,
BraTS2021_01637,2,,
BraTS2021_00799,2.4294093,,
BraTS2021_01566,2.6249025,,
BraTS2021_00349,2.3929257,,
BraTS2021_01392,2.602395,,
BraTS2021_00421,2.164005,,
BraTS2021_01473,2.5320792,,
BraTS2021_01563,2.0884845,,
BraTS2021_01169,1.8464457,,
BraTS2021_00837,2.150089,,
BraTS2021_01340,2.2580419,,
BraTS2021_00035,2.2673497,,
BraTS2021_01009,2.2565098,,
BraTS2021_00444,2.8708034,,
BraTS2021_01511,1.6326656,,
BraTS2021_00060,2.2791092,,
BraTS2021_01431,2.3385706,,
BraTS2021_01091,2.2189982,,
BraTS2021_00613,2.3361974,,
BraTS2021_00156,2.3330383,,
BraTS2021_01460,2.6172879,,
BraTS2021_00426,2.3152344,,
BraTS2021_01054,2.528766,,
BraTS2021_00324,2.0966344,,
BraTS2021_01448,2.1435165,,
BraTS2021_01180,2.3099945,,
BraTS2021_00371,2.1116624,,
BraTS2021_00625,2.1565154,,
BraTS2021_00407,2.1384692,,
BraTS2021_01158,2.2306006,,
BraTS2021_00736,2.3093865,,
BraTS2021_00565,2.3279397,,
BraTS2021_00830,2.282831,,
BraTS2021_00436,2.4434993,,
BraTS2021_01349,2.3170688,,
BraTS2021_01513,1.530504,,
BraTS2021_01654,2.29367,,
BraTS2021_01136,2.5039244,,
BraTS2021_01401,2.1500058,,
BraTS2021_00416,2.3848777,,
BraTS2021_00090,2.11017,,
BraTS2021_01165,2.4674828,,
BraTS2021_00685,2.1944609,,
BraTS2021_00242,2.154194,,
BraTS2021_00078,2.3297853,,
BraTS2021_01285,2.4533036,,
BraTS2021_01452,2.1956449,,
BraTS2021_01438,1.7005286,,
BraTS2021_01616,2.0344193,,
BraTS2021_00619,2.3772485,,
BraTS2021_01217,2.0704358,,
BraTS2021_01148,2.4257517,,
BraTS2021_01471,2.3457794,,
BraTS2021_00746,2.5719512,,
BraTS2021_01357,2.1887016,,
BraTS2021_00046,2.268163,,
BraTS2021_00730,2.2835271,,
BraTS2021_00210,2.8023336,,
BraTS2021_01130,2.5181363,,
