image_id,dice_score
BraTS2021_01229,tensor(86.8694)
BraTS2021_00405,tensor(91.8762)
BraTS2021_01299,tensor(95.5150)
BraTS2021_00310,tensor(92.7253)
BraTS2021_00142,tensor(90.2294)
BraTS2021_01223,tensor(92.4462)
BraTS2021_00239,tensor(94.6891)
BraTS2021_00017,tensor(74.6372)
BraTS2021_01244,tensor(91.0243)
BraTS2021_00742,tensor(91.7671)
BraTS2021_00496,tensor(73.4261)
BraTS2021_01529,tensor(68.2513)
BraTS2021_00103,tensor(95.2804)
BraTS2021_01065,tensor(96.9277)
BraTS2021_00559,tensor(91.4876)
BraTS2021_01189,tensor(92.4470)
BraTS2021_01491,tensor(74.9052)
BraTS2021_01493,tensor(82.5576)
BraTS2021_00797,tensor(92.4368)
BraTS2021_01642,tensor(96.0263)
BraTS2021_00667,tensor(98.6944)
BraTS2021_01282,tensor(91.7230)
BraTS2021_00185,tensor(81.8241)
BraTS2021_01145,tensor(84.7388)
BraTS2021_00254,tensor(93.3235)
BraTS2021_01088,tensor(84.0535)
BraTS2021_00583,tensor(93.6049)
BraTS2021_01228,tensor(88.0927)
BraTS2021_00840,tensor(76.8462)
BraTS2021_01533,tensor(78.1293)
BraTS2021_01540,tensor(87.6510)
BraTS2021_01139,tensor(88.3975)
BraTS2021_01003,tensor(91.0078)
BraTS2021_01209,tensor(87.4652)
BraTS2021_01052,tensor(97.3699)
BraTS2021_00207,tensor(94.1402)
BraTS2021_01274,tensor(77.7961)
BraTS2021_01171,tensor(93.9866)
BraTS2021_01239,tensor(84.8977)
BraTS2021_01467,tensor(81.3294)
BraTS2021_01554,tensor(98.6676)
BraTS2021_01290,tensor(94.2256)
BraTS2021_00733,tensor(96.8238)
BraTS2021_01226,tensor(82.9594)
BraTS2021_01522,tensor(83.7722)
BraTS2021_01525,tensor(77.0076)
BraTS2021_01294,tensor(95.1146)
BraTS2021_01599,tensor(87.3677)
BraTS2021_00561,tensor(94.1147)
BraTS2021_00172,tensor(93.6482)
BraTS2021_00087,tensor(94.1920)
BraTS2021_01084,tensor(93.0190)
BraTS2021_01580,tensor(82.8272)
BraTS2021_00683,tensor(95.2905)
BraTS2021_01535,tensor(90.8543)
BraTS2021_01138,tensor(91.5363)
BraTS2021_01459,tensor(74.4749)
BraTS2021_00661,tensor(97.2144)
BraTS2021_01376,tensor(96.6566)
BraTS2021_01506,tensor(83.2700)
BraTS2021_01160,tensor(96.7816)
BraTS2021_01298,tensor(91.8803)
BraTS2021_01487,tensor(76.3937)
BraTS2021_01530,tensor(76.7434)
BraTS2021_00109,tensor(88.4733)
BraTS2021_01584,tensor(93.5950)
BraTS2021_00339,tensor(78.4932)
BraTS2021_01044,tensor(87.5375)
BraTS2021_00556,tensor(92.3803)
BraTS2021_00347,tensor(96.8920)
BraTS2021_00380,tensor(50.4212)
BraTS2021_01575,tensor(88.6879)
BraTS2021_01347,tensor(70.8353)
BraTS2021_01400,tensor(94.4630)
BraTS2021_00513,tensor(91.6247)
BraTS2021_01149,tensor(76.7010)
BraTS2021_01537,tensor(97.0355)
BraTS2021_01316,tensor(91.6304)
BraTS2021_01574,tensor(92.2923)
BraTS2021_01188,tensor(68.4725)
BraTS2021_00263,tensor(95.9142)
BraTS2021_01252,tensor(52.5066)
BraTS2021_00043,tensor(95.8801)
BraTS2021_01498,tensor(83.4791)
BraTS2021_01551,tensor(58.4622)
BraTS2021_01002,tensor(87.6368)
BraTS2021_00478,tensor(95.2124)
BraTS2021_00423,tensor(95.1996)
BraTS2021_01518,tensor(91.1363)
BraTS2021_01358,tensor(97.2508)
BraTS2021_00246,tensor(95.6191)
BraTS2021_01609,tensor(93.9514)
BraTS2021_00638,tensor(88.9796)
