image_id,dice_score
BraTS2021_00196,tensor(94.8600)
BraTS2021_00028,tensor(83.9010)
BraTS2021_00677,tensor(96.0543)
BraTS2021_00496,tensor(79.8363)
BraTS2021_00692,tensor(96.9174)
BraTS2021_01223,tensor(92.5622)
BraTS2021_00391,tensor(93.9420)
BraTS2021_01384,tensor(98.4621)
BraTS2021_00162,tensor(90.5072)
BraTS2021_00379,tensor(94.0538)
BraTS2021_00239,tensor(94.6969)
BraTS2021_00102,tensor(56.3887)
BraTS2021_00622,tensor(95.2919)
BraTS2021_01113,tensor(93.6481)
BraTS2021_00768,tensor(91.3512)
BraTS2021_01198,tensor(92.6814)
BraTS2021_00684,tensor(63.2682)
BraTS2021_01163,tensor(92.3722)
BraTS2021_01393,tensor(99.0686)
BraTS2021_01047,tensor(94.3217)
BraTS2021_01622,tensor(62.2724)
BraTS2021_00703,tensor(96.9142)
BraTS2021_00659,tensor(95.4449)
BraTS2021_00519,tensor(95.5818)
BraTS2021_01457,tensor(87.8280)
BraTS2021_00511,tensor(97.7878)
BraTS2021_00157,tensor(92.2419)
BraTS2021_00044,tensor(90.9755)
BraTS2021_00423,tensor(95.4201)
BraTS2021_00682,tensor(96.3966)
BraTS2021_01271,tensor(78.4186)
BraTS2021_00773,tensor(95.4745)
BraTS2021_01172,tensor(91.1615)
BraTS2021_01252,tensor(61.1370)
BraTS2021_00507,tensor(95.0868)
BraTS2021_01291,tensor(93.0523)
BraTS2021_01013,tensor(92.3300)
BraTS2021_00739,tensor(95.4761)
BraTS2021_00178,tensor(97.7779)
BraTS2021_01482,tensor(55.1749)
BraTS2021_00831,tensor(85.0504)
BraTS2021_01038,tensor(96.5915)
BraTS2021_01585,tensor(96.0588)
BraTS2021_01546,tensor(95.9931)
BraTS2021_01634,tensor(97.3422)
BraTS2021_01192,tensor(90.0312)
BraTS2021_00729,tensor(92.5774)
BraTS2021_01140,tensor(94.6341)
BraTS2021_01429,tensor(86.9262)
BraTS2021_01504,tensor(96.3628)
BraTS2021_01339,tensor(98.8033)
BraTS2021_00448,tensor(97.6123)
BraTS2021_01658,tensor(94.9744)
BraTS2021_00554,tensor(98.0176)
BraTS2021_01200,tensor(93.9304)
BraTS2021_01059,tensor(88.0784)
BraTS2021_01580,tensor(84.0294)
BraTS2021_00410,tensor(86.7618)
BraTS2021_01189,tensor(94.6410)
BraTS2021_00336,tensor(98.8830)
BraTS2021_01406,tensor(97.5430)
BraTS2021_01525,tensor(82.4015)
BraTS2021_00288,tensor(96.8903)
BraTS2021_00590,tensor(86.9298)
BraTS2021_01351,tensor(92.4376)
BraTS2021_01574,tensor(93.6530)
BraTS2021_01020,tensor(97.7627)
BraTS2021_01262,tensor(90.9567)
BraTS2021_01137,tensor(86.1862)
BraTS2021_00575,tensor(97.2236)
BraTS2021_01036,tensor(89.4639)
BraTS2021_01053,tensor(85.9273)
BraTS2021_00516,tensor(92.8656)
BraTS2021_00452,tensor(97.9880)
BraTS2021_01500,tensor(92.2708)
BraTS2021_01659,tensor(95.3733)
BraTS2021_00373,tensor(70.7025)
BraTS2021_01648,tensor(98.1373)
BraTS2021_00528,tensor(86.9993)
BraTS2021_01502,tensor(79.3980)
BraTS2021_01578,tensor(92.0051)
BraTS2021_01016,tensor(94.6609)
BraTS2021_00111,tensor(88.6500)
BraTS2021_00332,tensor(86.6345)
BraTS2021_01359,tensor(94.6384)
BraTS2021_01565,tensor(97.3126)
BraTS2021_00097,tensor(93.9316)
BraTS2021_00468,tensor(89.0521)
BraTS2021_01560,tensor(97.7939)
BraTS2021_01236,tensor(95.1599)
BraTS2021_01414,tensor(93.2598)
BraTS2021_00680,tensor(91.7514)
BraTS2021_01029,tensor(90.5770)
BraTS2021_01074,tensor(95.6132)
BraTS2021_00070,tensor(97.9927)
BraTS2021_00176,tensor(96.7301)
BraTS2021_01119,tensor(88.5803)
BraTS2021_01643,tensor(95.8194)
BraTS2021_01145,tensor(87.8144)
BraTS2021_00107,tensor(85.2743)
BraTS2021_01258,tensor(95.3152)
BraTS2021_00834,tensor(93.5256)
BraTS2021_01337,tensor(97.8401)
BraTS2021_01475,tensor(95.6229)
BraTS2021_01362,tensor(95.9625)
BraTS2021_01645,tensor(88.3935)
BraTS2021_00548,tensor(96.3360)
BraTS2021_00414,tensor(93.7199)
BraTS2021_01152,tensor(92.2226)
BraTS2021_00731,tensor(59.0868)
BraTS2021_00774,tensor(96.1320)
BraTS2021_00495,tensor(97.3996)
BraTS2021_01310,tensor(91.4530)
BraTS2021_00150,tensor(83.7990)
BraTS2021_00269,tensor(96.0904)
BraTS2021_01493,tensor(86.7452)
BraTS2021_00440,tensor(96.6287)
BraTS2021_01356,tensor(97.6259)
BraTS2021_01389,tensor(96.3236)
BraTS2021_00113,tensor(70.7612)
BraTS2021_00449,tensor(94.7604)
BraTS2021_00085,tensor(74.4555)
BraTS2021_00735,tensor(62.5009)
BraTS2021_01552,tensor(97.4277)
BraTS2021_00344,tensor(92.7433)
BraTS2021_01157,tensor(95.8492)
BraTS2021_00112,tensor(66.7717)
BraTS2021_01492,tensor(82.8730)
BraTS2021_01263,tensor(89.1969)
BraTS2021_00110,tensor(65.4728)
BraTS2021_01031,tensor(90.3684)
BraTS2021_01527,tensor(97.0471)
BraTS2021_00576,tensor(75.3603)
BraTS2021_01533,tensor(80.0856)
BraTS2021_01440,tensor(83.2957)
BraTS2021_01665,tensor(66.9831)
BraTS2021_00377,tensor(86.4128)
BraTS2021_00068,tensor(95.7348)
BraTS2021_01633,tensor(95.8116)
BraTS2021_01316,tensor(91.4933)
BraTS2021_01434,tensor(81.0517)
BraTS2021_01239,tensor(92.0387)
BraTS2021_00469,tensor(95.6291)
BraTS2021_01173,tensor(93.8999)
BraTS2021_00098,tensor(86.4586)
BraTS2021_00000,tensor(97.2153)
BraTS2021_01535,tensor(93.4562)
BraTS2021_00429,tensor(94.7328)
BraTS2021_01264,tensor(95.1372)
BraTS2021_01185,tensor(94.7846)
